src,dst
9737,92277
93018,62257
152617,163788
37000,9244
203615,119322
202273,162458
47854,20754
62531,12874
182261,135380
17109,114919
49708,136036
116065,51853
162126,82347
211031,18198
218013,132386
47671,99793
187508,171748
136036,67571
135661,95324
95898,118108
172736,93340
85848,191924
208269,161541
12397,161541
119060,138640
30714,104073
93738,84867
67572,54500
45253,11422
24869,162625
80685,106238
92790,27380
60198,3609
9184,68394
208249,43218
213955,64477
86695,94838
39985,26749
88716,94396
192686,131205
64426,192686
83726,157083
42565,206253
136036,152938
95766,69976
208269,173848
208269,12397
92611,154100
102611,208615
87124,180440
61347,162458
58775,113887
58775,113887
45253,29204
112865,47369
88107,127441
91122,118454
163119,80732
80732,163119
14889,174469
16290,21678
88107,567
86695,94838
11422,45253
107821,88855
146055,110027
195177,113558
97667,116500
12844,20470
192003,167201
212781,15671
169575,32552
17109,114919
135114,139046
139834,137394
189212,59799
34464,40587
197146,42178
198855,194590
208615,211307
118228,83369
115799,176411
23165,152158
42731,103104
33364,132654
49708,136036
15517,182346
178114,208999
196725,141823
196725,179686
105850,48558
2043,5716
15561,184641
148859,182067
75451,37402
78733,182825
165604,86695
47671,174671
103244,3192
152476,5379
161541,12397
76626,176006
145459,138777
45334,95245
63990,49995
42731,5327
122858,30746
15671,171748
148859,182067
146929,12608
73335,161632
11422,60338
180249,38726
177874,159670
33364,75999
69888,99988
107950,41314
162458,111249
78733,182825
125348,213008
34464,40587
17109,114919
69976,95766
110491,16573
182468,212781
194603,64477
133370,161632
36455,129595
118770,83748
30714,192835
37402,75451
107256,45396
107821,88855
26531,137356
26531,137356
90439,214114
133473,95116
76397,199794
112551,163735
139046,30714
47577,131890
134037,135114
190458,138157
25353,109948
15671,21472
3192,103244
88855,107821
119060,138640
138157,8451
146055,110027
99505,119060
75451,37402
141171,37000
135114,30714
63941,32203
59288,50777
16462,176755
146169,22394
116402,182822
4195,14289
14289,4195
176755,50777
123048,179686
45396,140444
190626,208997
70256,208269
136156,162458
63941,32203
212517,83748
137356,74267
145252,113443
8820,31952
171933,119322
96121,26034
157933,4811
119060,83369
60198,176006
125914,98938
139046,30714
150110,42221
199774,159174
27640,74206
114919,17109
99871,169132
184533,35821
162458,202273
87124,180440
182346,15517
119060,138640
188674,136036
73135,49708
180249,136036
187637,4089
91122,161881
64473,176911
36455,129595
111624,116204
125348,213008
209570,16462
91564,25712
146929,138663
2450,18667
45253,71900
58775,113887
88855,107821
18198,206497
153328,28153
88716,94396
159174,60198
37410,202262
2010,59705
77908,208208
149199,183784
196725,179686
139242,95898
10129,189212
176328,138199
200061,123536
20743,89447
159174,60198
196725,179686
136036,152938
161632,133370
202273,162458
34464,43320
21472,129310
50569,159174
136036,34017
125348,213008
184883,112689
213008,139058
191231,100588
20743,89447
85848,191924
143590,54172
180249,152938
146467,171137
146467,171137
206253,33864
60338,40126
64477,47369
47369,39985
162522,142360
107821,88855
121997,128451
123048,81142
31952,67119
88371,145576
30377,17556
115482,58775
180962,180683
64477,47369
33364,132654
183458,89664
204213,128736
122537,7988
182115,5350
72786,179551
599,99410
89416,109582
